"연령별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"2세","공무","여자","","3","4","5","2","2","4",
"2세","사증면제","계","","82","100","110","100","143","186",
"2세","사증면제","남자","","47","57","56","46","69","95",
"2세","사증면제","여자","","35","43","54","54","74","91",
"2세","관광통과","계","","694","620","629","498","454","538",
"2세","관광통과","남자","","365","314","317","255","247","279",
"2세","관광통과","여자","","329","306","312","243","207","259",
"2세","단기방문","계","","716","772","870","848","648","556",
"2세","단기방문","남자","","372","387","415","431","324","274",
"2세","단기방문","여자","","344","385","455","417","324","282",
"2세","연구","계","","1","","","","","",
"2세","연구","남자","","1","","","","","",
"2세","연구","여자","","0","","","","","",
"2세","방문동거","계","","161","293","330","439","526","601",
"2세","방문동거","남자","","81","137","177","209","265","300",
"2세","방문동거","여자","","80","156","153","230","261","301",
"2세","거주","계","","52","63","80","67","60","75",
"2세","거주","남자","","29","34","41","34","31","43",
"2세","거주","여자","","23","29","39","33","29","32",
"2세","동반","계","","295","303","285","299","284","312",
"2세","동반","남자","","155","170","151","166","140","171",
"2세","동반","여자","","140","133","134","133","144","141",
"2세","재외동포","계","","17","12","19","16","14","21",
"2세","재외동포","남자","","7","4","8","9","10","8",
"2세","재외동포","여자","","10","8","11","7","4","13",
"2세","영주","계","","16","52","55","66","64","72",
"2세","영주","남자","","8","21","29","35","34","36",
"2세","영주","여자","","8","31","26","31","30","36",
"2세","결혼이민","계","","","1","","","","",
"2세","결혼이민","남자","","","1","","","","",
"2세","결혼이민","여자","","","0","","","","",
"2세","기타","계","","1","1","2","1","1","6",
"2세","기타","남자","","0","1","0","1","1","1",
"2세","기타","여자","","1","0","2","0","0","5",
"2세","방문취업","계","","","1","","","","",
"2세","방문취업","남자","","","0","","","","",
"2세","방문취업","여자","","","1","","","","",
"2세","관광상륙","계","","1","1","","1","","",
"2세","관광상륙","남자","","0","1","","0","","",
"2세","관광상륙","여자","","1","0","","1","","",
"3세","총계","계","","1685","1916","1891","1978","1856","1959",
"3세","총계","남자","","846","1008","978","999","905","962",
"3세","총계","여자","","839","908","913","979","951","997",
"3세","공무","계","","6","11","6","11","18","14",
"3세","공무","남자","","5","6","3","3","8","6",
"3세","공무","여자","","1","5","3","8","10","8",
"3세","사증면제","계","","57","67","74","86","130","130",
"3세","사증면제","남자","","31","39","37","45","72","60",
"3세","사증면제","여자","","26","28","37","41","58","70",
"3세","관광통과","계","","551","557","497","391","366","493",
"3세","관광통과","남자","","290","296","267","191","178","255",
"3세","관광통과","여자","","261","261","230","200","188","238",
"3세","단기방문","계","","617","731","711","780","563","489",
"3세","단기방문","남자","","311","382","362","419","266","228",
"3세","단기방문","여자","","306","349","349","361","297","261",
"3세","일반연수","계","","","","","","1","",
"3세","일반연수","남자","","","","","","0","",
"3세","일반연수","여자","","","","","","1","",
"3세","방문동거","계","","117","195","236","353","426","416",
"3세","방문동거","남자","","55","100","115","177","218","197",
