"전출지별","전입지별","성별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","인천광역시","계","55 - 59세","순이동자수","명","775","205","3","-456","-442","-77",
"전국","인천광역시","계","60 - 64세","이동자수","명","13560","14048","17044","17687","17841","20061",
"전국","인천광역시","계","60 - 64세","순이동자수","명","494","217","490","9","-249","-105",
"전국","인천광역시","계","65 - 69세","이동자수","명","9794","10197","11554","11080","10928","11583",
"전국","인천광역시","계","65 - 69세","순이동자수","명","626","466","493","237","195","178",
"전국","인천광역시","계","70 - 74세","이동자수","명","8173","7923","8361","7902","7749","8254",
"전국","인천광역시","계","70 - 74세","순이동자수","명","530","401","534","414","318","431",
"전국","인천광역시","계","75 - 79세","이동자수","명","5679","5935","6434","6057","5994","6601",
"전국","인천광역시","계","75 - 79세","순이동자수","명","509","419","559","427","371","450",
"전국","인천광역시","계","80세이상","이동자수","명","6442","6752","7509","7583","7481","8569",
"전국","인천광역시","계","80세이상","순이동자수","명","505","567","542","658","626","707",
"전국","광주광역시","계","계","이동자수","명","226696","243066","224603","213176","208138","218892",
"전국","광주광역시","계","계","순이동자수","명","-2592","-2977","-9272","-7898","-8118","-6216",
"전국","광주광역시","계","0 - 4세","이동자수","명","14818","15283","13385","12676","12319","11176",
"전국","광주광역시","계","0 - 4세","순이동자수","명","1123","755","384","337","881","891",
"전국","광주광역시","계","5 - 9세","이동자수","명","11987","12453","10703","10302","10032","9751",
"전국","광주광역시","계","5 - 9세","순이동자수","명","344","469","-29","-56","80","134",
"전국","광주광역시","계","10 - 14세","이동자수","명","11842","11633","9798","8556","8093","8050",
"전국","광주광역시","계","10 - 14세","순이동자수","명","114","164","-196","-163","-113","-135",
"전국","광주광역시","계","15 - 19세","이동자수","명","13868","14383","12867","11959","11061","11076",
"전국","광주광역시","계","15 - 19세","순이동자수","명","-692","-692","-884","-882","-998","-887",
"전국","광주광역시","계","20 - 24세","이동자수","명","17660","19607","19855","19672","19410","21149",
"전국","광주광역시","계","20 - 24세","순이동자수","명","-1511","-1747","-2682","-1977","-2303","-1704",
"전국","광주광역시","계","25 - 29세","이동자수","명","24244","24104","23110","22505","22749","25620",
"전국","광주광역시","계","25 - 29세","순이동자수","명","-1212","-1746","-2083","-1394","-1795","-1657",
"전국","광주광역시","계","30 - 34세","이동자수","명","29513","31210","27616","25103","22962","21940",
"전국","광주광역시","계","30 - 34세","순이동자수","명","-97","-133","-1110","-939","-717","-372",
"전국","광주광역시","계","35 - 39세","이동자수","명","21401","23428","21272","20570","20738","21099",
"전국","광주광역시","계","35 - 39세","순이동자수","명","359","367","-515","-514","-553","4",
"전국","광주광역시","계","40 - 44세","이동자수","명","19303","21210","18816","17028","16420","16461",
"전국","광주광역시","계","40 - 44세","순이동자수","명","-107","256","-385","-592","-338","-317",
"전국","광주광역시","계","45 - 49세","이동자수","명","15506","17453","16426","15618","15487","16472",
"전국","광주광역시","계","45 - 49세","순이동자수","명","-279","-342","-416","-443","-668","-470",
"전국","광주광역시","계","50 - 54세","이동자수","명","14096","15475","14258","13214","12695","14034",
"전국","광주광역시","계","50 - 54세","순이동자수","명","-622","-432","-744","-632","-729","-650",
"전국","광주광역시","계","55 - 59세","이동자수","명","9627","11546","11809","11938","11747","13191",
"전국","광주광역시","계","55 - 59세","순이동자수","명","-405","-246","-581","-578","-645","-680",
"전국","광주광역시","계","60 - 64세","이동자수","명","6774","7629","7797","7698","7886","9531",
"전국","광주광역시","계","60 - 64세","순이동자수","명","-60","-110","-259","-278","-439","-541",
"전국","광주광역시","계","65 - 69세","이동자수","명","5121","5721","5541","5417","5430","6298",
"전국","광주광역시","계","65 - 69세","순이동자수","명","23","-107","-168","-208","-226","-195",
"전국","광주광역시","계","70 - 74세","이동자수","명","4182","4494","4291","3866","3863","4369",
"전국","광주광역시","계","70 - 74세","순이동자수","명","64","93","44","-1","1","-114",
"전국","광주광역시","계","75 - 79세","이동자수","명","3041","3406","3136","2999","3181","3867",
"전국","광주광역시","계","75 - 79세","순이동자수","명","142","144","7","63","84","93",
"전국","광주광역시","계","80세이상","이동자수","명","3713","4031","3923","4055","4065","4808",
"전국","광주광역시","계","80세이상","순이동자수","명","224","330","345","359","360","384",
"전국","대전광역시","계","계","이동자수","명","230858","239559","220774","219252","211449","212879",
"전국","대전광역시","계","계","순이동자수","명","311","-8838","-20616","-10631","-16175","-14753",
"전국","대전광역시","계","0 - 4세","이동자수","명","15971","16465","13481","13129","11944","11158",
"전국","대전광역시","계","0 - 4세","순이동자수","명","819","-402","-1689","-351","-1101","-714",
"전국","대전광역시","계","5 - 9세","이동자수","명","11547","11710","9572","8972","8672","8099",
"전국","대전광역시","계","5 - 9세","순이동자수","명","342","-554","-1745","-816","-1213","-1269",
"전국","대전광역시","계","10 - 14세","이동자수","명","9972","9841","7954","6993","6511","6196",
"전국","대전광역시","계","10 - 14세","순이동자수","명","68","-483","-1277","-574","-918","-819",
"전국","대전광역시","계","15 - 19세","이동자수","명","13274","13396","12320","11598","11166","10500",
"전국","대전광역시","계","15 - 19세","순이동자수","명","-70","-498","-1065","-670","-799","-491",
"전국","대전광역시","계","20 - 24세","이동자수","명","19330","20949","21237","22209","21982","23091",
"전국","대전광역시","계","20 - 24세","순이동자수","명","139","-838","-1204","-452","-587","-201",
"전국","대전광역시","계","25 - 29세","이동자수","명","26646","26820","26382","27629","28018","29958",
"전국","대전광역시","계","25 - 29세","순이동자수","명","-738","-830","-1264","-498","-1097","-1444",
"전국","대전광역시","계","30 - 34세","이동자수","명","32034","32734","28876","27808","25392","23931",
"전국","대전광역시","계","30 - 34세","순이동자수","명","523","-732","-2199","-694","-1644","-1932",
"전국","대전광역시","계","35 - 39세","이동자수","명","22750","23311","20814","21083","20654","20555",
"전국","대전광역시","계","35 - 39세","순이동자수","명","243","-1193","-2561","-1180","-1714","-1822",
"전국","대전광역시","계","40 - 44세","이동자수","명","19393","20036","17805","16380","15489","14839",
"전국","대전광역시","계","40 - 44세","순이동자수","명","249","-713","-2042","-878","-1437","-984",
"전국","대전광역시","계","45 - 49세","이동자수","명","15142","16675","15570","15697","15188","15179",
"전국","대전광역시","계","45 - 49세","순이동자수","명","-229","-866","-1458","-1193","-1396","-1202",
"전국","대전광역시","계","50 - 54세","이동자수","명","14148","14906","13984","13090","12466","12770",
"전국","대전광역시","계","50 - 54세","순이동자수","명","-547","-880","-1688","-1256","-1464","-1392",
"전국","대전광역시","계","55 - 59세","이동자수","명","10237","11316","11335","12218","11781","12304",
"전국","대전광역시","계","55 - 59세","순이동자수","명","-572","-584","-1261","-1191","-1423","-1240",
"전국","대전광역시","계","60 - 64세","이동자수","명","6423","6964","7175","8015","7943","8723",
"전국","대전광역시","계","60 - 64세","순이동자수","명","-239","-248","-808","-649","-880","-995",
"전국","대전광역시","계","65 - 69세","이동자수","명","4259","4590","4664","4903","4764","5139",
"전국","대전광역시","계","65 - 69세","순이동자수","명","15","-97","-366","-249","-429","-329",
"전국","대전광역시","계","70 - 74세","이동자수","명","3604","3620","3543","3294","3197","3444",
"전국","대전광역시","계","70 - 74세","순이동자수","명","20","-15","-48","-110","-70","-96",
"전국","대전광역시","계","75 - 79세","이동자수","명","2832","2935","2712","2624","2678","2906",
"전국","대전광역시","계","75 - 79세","순이동자수","명","115","-9","-25","40","-10","28",
"전국","대전광역시","계","80세이상","이동자수","명","3296","3291","3350","3610","3604","4087",
"전국","대전광역시","계","80세이상","순이동자수","명","173","104","84","90","7","149",
"전국","울산광역시","계","계","이동자수","명","159492","176015","170393","148190","135199","127922",
"전국","울산광역시","계","계","순이동자수","명","2307","2786","-80","-7622","-11917","-12654",
"전국","울산광역시","계","0 - 4세","이동자수","명","10659","12199","10685","9524","8866","7665",
"전국","울산광역시","계","0 - 4세","순이동자수","명","317","439","2","-402","-628","-555",
"전국","울산광역시","계","5 - 9세","이동자수","명","7100","8143","7089","6374","6067","5318",
"전국","울산광역시","계","5 - 9세","순이동자수","명","30","108","-53","-217","-321","-457",
"전국","울산광역시","계","10 - 14세","이동자수","명","6764","7072","5952","4577","3993","3794",
"전국","울산광역시","계","10 - 14세","순이동자수","명","-73","60","-31","-94","-334","-247",
"전국","울산광역시","계","15 - 19세","이동자수","명","9116","9362","8733","7204","5965","5482",
"전국","울산광역시","계","15 - 19세","순이동자수","명","-654","-772","-719","-876","-1095","-1132",
"전국","울산광역시","계","20 - 24세","이동자수","명","12590","14423","14702","13171","11378","10991",
"전국","울산광역시","계","20 - 24세","순이동자수","명","-968","-829","-1224","-1845","-2468","-2837",
"전국","울산광역시","계","25 - 29세","이동자수","명","18586","19389","19838","17981","16486","16351",
"전국","울산광역시","계","25 - 29세","순이동자수","명","1261","961","767","-692","-1942","-2294",
"전국","울산광역시","계","30 - 34세","이동자수","명","23282","25140","23037","19428","16988","14972",
"전국","울산광역시","계","30 - 34세","순이동자수","명","1563","1565","1026","-274","-851","-955",
"전국","울산광역시","계","35 - 39세","이동자수","명","15275","17203","16469","14973","14767","13613",
"전국","울산광역시","계","35 - 39세","순이동자수","명","652","748","405","-316","-706","-755",
"전국","울산광역시","계","40 - 44세","이동자수","명","13801","15331","13924","11463","10332","9473",
"전국","울산광역시","계","40 - 44세","순이동자수","명","89","446","135","-381","-507","-487",
"전국","울산광역시","계","45 - 49세","이동자수","명","11977","13481","13046","11049","10101","9768",
"전국","울산광역시","계","45 - 49세","순이동자수","명","197","80","82","-623","-697","-689",
"전국","울산광역시","계","50 - 54세","이동자수","명","10881","11824","12308","9624","8709","8726",
"전국","울산광역시","계","50 - 54세","순이동자수","명","-122","20","-157","-695","-643","-674",
"전국","울산광역시","계","55 - 59세","이동자수","명","7199","8510","9432","8630","7971","7854",
"전국","울산광역시","계","55 - 59세","순이동자수","명","-215","-156","-358","-635","-855","-849",
"전국","울산광역시","계","60 - 64세","이동자수","명","4255","5034","5689","5597","5229","5408",
"전국","울산광역시","계","60 - 64세","순이동자수","명","-161","-234","-321","-569","-672","-678",
"전국","울산광역시","계","65 - 69세","이동자수","명","2574","3000","3280","2987","3006","3103",
"전국","울산광역시","계","65 - 69세","순이동자수","명","-16","-52","-61","-226","-269","-261",
"전국","울산광역시","계","70 - 74세","이동자수","명","2097","2283","2464","1991","1878","1871",
"전국","울산광역시","계","70 - 74세","순이동자수","명","57","55","26","-60","-111","-54",
"전국","울산광역시","계","75 - 79세","이동자수","명","1579","1591","1696","1569","1504","1491",
"전국","울산광역시","계","75 - 79세","순이동자수","명","157","31","153","82","15","64",
"전국","울산광역시","계","80세이상","이동자수","명","1757","2030","2049","2048","1959","2042",
"전국","울산광역시","계","80세이상","순이동자수","명","193","316","248","201","167","206",
"전국","세종특별자치시","계","계","이동자수","명","23805","56526","83994","65052","82073","86433",
"전국","세종특별자치시","계","계","순이동자수","명","8696","33456","53044","29816","34690","31433",
"전국","세종특별자치시","계","0 - 4세","이동자수","명","1672","5040","7219","5026","6458","6454",
"전국","세종특별자치시","계","0 - 4세","순이동자수","명","745","3438","4948","2392","2734","2314",
"전국","세종특별자치시","계","5 - 9세","이동자수","명","1375","4293","6805","4223","5639","5841",
"전국","세종특별자치시","계","5 - 9세","순이동자수","명","704","2877","4887","2383","2805","2576",
"전국","세종특별자치시","계","10 - 14세","이동자수","명","1154","3361","5218","2974","4001","4312",
"전국","세종특별자치시","계","10 - 14세","순이동자수","명","458","2151","3657","1625","2050","1742",
"전국","세종특별자치시","계","15 - 19세","이동자수","명","1225","2628","3863","2835","3648","3903",
"전국","세종특별자치시","계","15 - 19세","순이동자수","명","400","1497","2336","1305","1645","1382",
"전국","세종특별자치시","계","20 - 24세","이동자수","명","1767","3247","4685","4421","5289","5742",
"전국","세종특별자치시","계","20 - 24세","순이동자수","명","505","1627","2548","1679","1900","1851",
"전국","세종특별자치시","계","25 - 29세","이동자수","명","2288","4222","6467","6404","7519","8455",
"전국","세종특별자치시","계","25 - 29세","순이동자수","명","706","2118","3389","2480","2568","2927",
"전국","세종특별자치시","계","30 - 34세","이동자수","명","2864","7296","10391","8316","10057","10043",
"전국","세종특별자치시","계","30 - 34세","순이동자수","명","1015","4436","6560","3802","4179","3819",
"전국","세종특별자치시","계","35 - 39세","이동자수","명","2424","6993","10328","7872","10297","10885",
"전국","세종특별자치시","계","35 - 39세","순이동자수","명","1065","4566","6983","3854","4463","3984",
"전국","세종특별자치시","계","40 - 44세","이동자수","명","2321","6107","9144","6101","7765","7897",
