"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","29세","시도간전출","","69758","66348","66638","63623","62186","64566",
"전국","30세","총전입","","206839","192559","179171","171230","163020","165516",
"전국","30세","총전출","","206839","192559","179171","171230","163020","165516",
"전국","30세","순이동","","0","0","0","0","0","0",
"전국","30세","시군구간전입","","65420","60166","55852","53216","51491","52444",
"전국","30세","시군구간전출","","65420","60166","55852","53216","51491","52444",
"전국","30세","시도간전입","","74296","70039","65197","62529","60241","60313",
"전국","30세","시도간전출","","74296","70039","65197","62529","60241","60313",
"전국","31세","총전입","","214420","207289","188943","168230","163168","162204",
"전국","31세","총전출","","214420","207289","188943","168230","163168","162204",
"전국","31세","순이동","","0","0","0","0","0","0",
"전국","31세","시군구간전입","","68345","64977","59474","52887","52069","51902",
"전국","31세","시군구간전출","","68345","64977","59474","52887","52069","51902",
"전국","31세","시도간전입","","74969","73135","66507","59457","58145","57154",
"전국","31세","시도간전출","","74969","73135","66507","59457","58145","57154",
"전국","32세","총전입","","205442","213267","200968","175946","159780","160908",
"전국","32세","총전출","","205442","213267","200968","175946","159780","160908",
"전국","32세","순이동","","0","0","0","0","0","0",
"전국","32세","시군구간전입","","64742","66732","63018","55321","50858","51675",
"전국","32세","시군구간전출","","64742","66732","63018","55321","50858","51675",
"전국","32세","시도간전입","","71164","73535","69070","60978","55980","55344",
"전국","32세","시도간전출","","71164","73535","69070","60978","55980","55344",
"전국","33세","총전입","","196447","201964","204137","184194","164714","155021",
"전국","33세","총전출","","196447","201964","204137","184194","164714","155021",
"전국","33세","순이동","","0","0","0","0","0","0",
"전국","33세","시군구간전입","","61703","63209","63547","57772","52037","49185",
"전국","33세","시군구간전출","","61703","63209","63547","57772","52037","49185",
"전국","33세","시도간전입","","66329","68482","69215","62502","56564","52278",
"전국","33세","시도간전출","","66329","68482","69215","62502","56564","52278",
"전국","34세","총전입","","170549","192463","193819","185922","170626","159870",
"전국","34세","총전출","","170549","192463","193819","185922","170626","159870",
"전국","34세","순이동","","0","0","0","0","0","0",
