"국적별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"캄보디아","비전문취업","계","","8770","7680","7862","8359","7701","6723",
"캄보디아","비전문취업","남자","","6879","6028","5996","6340","5826","5140",
"캄보디아","비전문취업","여자","","1891","1652","1866","2019","1875","1583",
"캄보디아","방문동거","계","","49","119","169","216","286","290",
"캄보디아","방문동거","남자","","11","41","55","73","108","111",
"캄보디아","방문동거","여자","","38","78","114","143","178","179",
"캄보디아","거주","계","","7","3","6","9","10","11",
"캄보디아","거주","남자","","3","2","2","3","6","6",
"캄보디아","거주","여자","","4","1","4","6","4","5",
"캄보디아","동반","계","","4","12","19","8","13","22",
"캄보디아","동반","남자","","1","1","4","1","3","4",
"캄보디아","동반","여자","","3","11","15","7","10","18",
"캄보디아","재외동포","계","","","","","","","2",
"캄보디아","재외동포","남자","","","","","","","1",
"캄보디아","재외동포","여자","","","","","","","1",
"캄보디아","영주","계","","3","3","3","3","1","3",
"캄보디아","영주","남자","","0","0","1","0","0","0",
"캄보디아","영주","여자","","3","3","2","3","1","3",
"캄보디아","결혼이민","계","","692","458","420","535","512","485",
"캄보디아","결혼이민","남자","","3","5","4","8","19","34",
"캄보디아","결혼이민","여자","","689","453","416","527","493","451",
"캄보디아","기타","계","","1","","","","1","1",
"캄보디아","기타","남자","","0","","","","0","0",
"캄보디아","기타","여자","","1","","","","1","1",
"캄보디아","관광상륙","계","","","","","1","","",
"캄보디아","관광상륙","남자","","","","","0","","",
"캄보디아","관광상륙","여자","","","","","1","","",
"스리랑카","총계","계","","5274","4836","5462","7093","3878","3913",
"스리랑카","총계","남자","","5064","4633","5250","6892","3705","3696",
"스리랑카","총계","여자","","210","203","212","201","173","217",
"스리랑카","공무","계","","9","5","8","7","4","10",
"스리랑카","공무","남자","","8","2","4","3","2","6",
"스리랑카","공무","여자","","1","3","4","4","2","4",
"스리랑카","관광통과","계","","2","4","3","1","","3",
"스리랑카","관광통과","남자","","2","3","3","1","","3",
"스리랑카","관광통과","여자","","0","1","0","0","","0",
"스리랑카","단기방문","계","","198","188","119","120","127","189",
"스리랑카","단기방문","남자","","144","144","85","82","94","124",
"스리랑카","단기방문","여자","","54","44","34","38","33","65",
"스리랑카","문화예술","계","","","3","1","3","1","1",
"스리랑카","문화예술","남자","","","1","1","1","0","0",
"스리랑카","문화예술","여자","","","2","0","2","1","1",
"스리랑카","유학","계","","35","35","44","46","45","45",
"스리랑카","유학","남자","","22","27","24","36","28","25",
"스리랑카","유학","여자","","13","8","20","10","17","20",
"스리랑카","일반연수","계","","82","132","185","171","46","39",
"스리랑카","일반연수","남자","","36","74","100","102","13","17",
"스리랑카","일반연수","여자","","46","58","85","69","33","22",
"스리랑카","종교","계","","8","5","12","8","13","3",
"스리랑카","종교","남자","","8","5","11","8","12","2",
"스리랑카","종교","여자","","0","0","1","0","1","1",
"스리랑카","주재","계","","","1","","","","",
"스리랑카","주재","남자","","","1","","","","",
