"미얀마","남자",17632,8,6,X,44,4215,6125,4051,1983,704,282,124,55,17,13,X,X,20698,9,12,6,45,5162,7344,4802,2137,640,312,139,57,17,14,X,X,22212,12,17,17,56,4957,8203,5417,2289,680,306,157,63,22,14,X,X,24995,20,15,11,95,5560,9415,6251,2653,723,158,61,13,13,7,X,X
"미얀마","여자",510,8,8,X,15,93,125,93,69,41,29,19,5,X,X,X,X,629,12,11,6,36,133,148,105,67,49,31,17,9,X,X,X,X,773,16,11,11,48,178,193,118,66,59,38,20,11,X,X,X,X,879,18,8,7,75,225,227,118,73,62,40,14,5,X,X,X,X
"스리랑카","계",25816,25,9,9,17,2907,7790,8215,4577,1650,398,150,42,19,5,X,X,26735,29,7,10,52,3605,8211,7577,4914,1637,457,147,58,21,6,X,X,25759,37,7,8,21,3108,8099,6998,5036,1677,524,153,53,23,9,5,X,24727,46,9,9,19,2686,7624,6814,5013,1929,453,75,28,14,6,X,X
"스리랑카","남자",25015,13,X,8,15,2810,7522,8026,4470,1587,367,135,37,16,5,X,X,25917,13,X,8,49,3487,7939,7397,4817,1578,416,135,50,20,X,X,X,24980,19,X,X,17,3011,7825,6823,4947,1622,488,140,51,19,8,X,X,23947,23,X,X,14,2606,7344,6631,4922,1874,424,62,25,10,X,X,X
"스리랑카","여자",801,12,6,X,X,97,268,189,107,63,31,15,5,X,X,X,X,818,16,6,X,X,118,272,180,97,59,41,12,8,X,X,X,X,779,18,5,X,X,97,274,175,89,55,36,13,X,X,X,X,X,780,23,6,5,5,80,280,183,91,55,29,13,X,X,X,X,X
"파키스탄","계",10342,330,173,67,73,735,2135,2483,1714,1137,800,372,168,86,33,26,10,11200,377,184,85,94,795,2273,2605,1872,1259,870,420,189,103,33,27,14,11226,366,188,85,97,852,2351,2465,1828,1176,916,490,221,107,42,25,17,10550,394,204,104,124,1105,2493,2352,1819,1047,512,235,105,34,13,5,X
"파키스탄","남자",9304,156,81,35,47,640,1899,2296,1606,1101,779,359,164,80,29,23,9,10045,193,98,43,60,676,2014,2396,1760,1208,839,411,184,98,28,26,11,10016,184,97,42,68,735,2067,2243,1698,1124,889,478,215,102,37,24,13,9225,200,106,52,89,976,2153,2126,1691,985,487,223,95,30,7,X,X
"파키스탄","여자",1038,174,92,32,26,95,236,187,108,36,21,13,X,6,X,X,X,1155,184,86,42,34,119,259,209,112,51,31,9,5,5,5,X,X,1210,182,91,43,29,117,284,222,130,52,27,12,6,5,5,X,X,1325,194,98,52,35,129,340,226,128,62,25,12,10,X,6,X,X
"방글라데시","계",14108,123,54,24,58,1541,3342,3065,2053,1449,1574,546,178,57,22,10,12,15051,161,75,25,80,1747,3611,3370,2133,1292,1544,688,215,63,27,8,12,14780,194,70,21,74,1770,3602,3339,2118,1011,1414,786,258,75,29,7,12,13555,204,81,28,78,2031,3802,3536,2070,875,465,230,81,40,19,X,11
"방글라데시","남자",13485,59,31,14,47,1453,3169,2943,1991,1423,1553,537,167,56,22,10,10,14320,81,43,16,64,1645,3395,3243,2061,1259,1521,679,209,59,27,8,10,13995,88,45,14,50,1661,3377,3197,2042,985,1395,776,251,69,29,7,9,12686,103,43,16,54,1885,3567,3374,1990,843,452,220,75,34,18,X,8
"방글라데시","여자",623,64,23,10,11,88,173,122,62,26,21,9,11,X,X,X,X,731,80,32,9,16,102,216,127,72,33,23,9,6,X,X,X,X,785,106,25,7,24,109,225,142,76,26,19,10,7,6,X,X,X,869,101,38,12,24,146,235,162,80,32,13,10,6,6,X,X,X
"네팔","계",28563,57,30,20,136,5703,10624,6389,3421,1517,449,138,43,20,13,X,X,32413,66,28,21,106,6421,11896,7554,3895,1609,548,165,53,25,16,7,X,34293,67,28,22,169,6995,12135,8174,4229,1595,631,145,66,17,14,5,X,37346,80,32,20,223,7944,12741,8950,4713,1749,627,168,54,24,13,6,X
"네팔","남자",25414,32,17,10,112,5093,9525,5699,3069,1347,369,100,25,10,X,X,X,28922,37,14,12,85,5720,10729,6770,3500,1436,447,120,28,17,X,X,X,30731,38,13,11,137,6295,10948,7361,3803,1434,521,112,39,12,5,X,X,33385,37,18,9,154,7087,11475,8076,4255,1571,520,122,39,14,X,X,X
"네팔","여자",3149,25,13,10,24,610,1099,690,352,170,80,38,18,10,9,X,X,3491,29,14,9,21,701,1167,784,395,173,101,45,25,8,13,X,X,3562,29,15,11,32,700,1187,813,426,161,110,33,27,5,9,X,X,3961,43,14,11,69,857,1266,874,458,178,107,46,15,10,9,X,X
"우즈베키스탄","계",38828,641,561,357,499,3675,8335,7833,5996,4317,2229,1815,1522,769,226,30,23,45670,976,866,586,744,3912,9392,9210,6887,4954,2728,2056,1909,1054,316,54,26,51117,1264,1105,796,1231,5140,9786,9920,7412,5265,3119,2153,2064,1307,433,85,37,57998,1500,1294,1005,1848,7870,10287,10705,8081,5519,3417,2192,2100,1442,546,151,41
"우즈베키스탄","남자",27845,329,292,183,307,2995,6263,6025,4546,3195,1422,985,804,384,100,9,6,31758,500,462,291,505,3065,7035,6911,5051,3505,1687,1092,992,523,121,12,6,34892,649,579,412,857,4069,7332,7178,5287,3623,1900,1157,1025,629,164,22,9,39717,767,651,538,1317,6309,7755,7716,5745,3655,2065,1191,1044,709,204,41,10
"우즈베키스탄","여자",10983,312,269,174,192,680,2072,1808,1450,1122,807,830,718,385,126,21,17,13912,476,404,295,239,847,2357,2299,1836,1449,1041,964,917,531,195,42,20,16225,615,526,384,374,1071,2454,2742,2125,1642,1219,996,1039,678,269,63,28,18281,733,643,467,531,1561,2532,2989,2336,1864,1352,1001,1056,733,342,110,31
"카자흐스탄","계",4167,110,58,32,405,703,622,544,527,418,297,192,124,76,33,9,17,9110,239,161,89,545,1406,1606,1420,1227,966,608,381,238,138,54,14,18,16993,445,309,197,884,2731,3109,2673,2170,1763,1172,707,471,235,82,25,20,25850,635,496,340,1234,4553,4883,4186,3158,2531,1709,1001,646,322,115,27,14
"카자흐스탄","남자",2352,58,34,12,191,399,397,335,301,223,172,104,63,39,13,X,8,5612,132,86,39,295,934,1052,964,758,562,365,196,133,66,20,X,6,10662,209,152,96,559,1957,2104,1800,1302,1026,669,382,240,123,29,7,7,16254,325,244,185,800,3224,3257,2800,1920,1446,963,542,318,181,36,8,5
